,Max_Depth,Test_Accuracy
0,1,0.8833333333333333
1,2,0.85
2,3,0.8666666666666667
3,4,0.8833333333333333
4,5,0.8333333333333334
5,6,0.8666666666666667
6,7,0.8333333333333334
7,8,0.8333333333333334
8,9,0.8833333333333333
9,10,0.85
10,11,0.85
